salutations	salutoj
in songs, as far as possible one should use language which is used in normal prose. if that is obviously impossible, be aware that in songs the use of language can be more liberal than in ordinary situations.	en kantoj oni laŭeble uzu lingvaĵon kiun oni uzas ankaŭ en normala prozo.  se tio montriĝas neebla, oni konsciu, ke en kantoj la lingvouzo povas esti pli libera ol en normalaj kuntekstoj.
no longer snow on kilimanjaro	ne plu neĝo sur kilimanĝaro
the largest free-standing mountain in the world is losing its brilliant distinguishing feature by which it is recognized from afar.  since 1912 the ice cover at the top of the 5895 m tall, no longer active, volcano in northern tanzania has shriveled from an area of 12 km2 to the present two square kilometers.	la plej granda libere staranta monto de la mondo perdas sian longdistancan brilantan ekkonilon: la neĝo sur kilimanĝaro degelas.  ekde 1912 ŝrumpas la glacikovraĵo sur la montsupro de la 5895 m alta, ne plu aktiva, vulkano en la nordo de tanzanio de iama 12 km2 areo al nuntempaj nur du kvadratkilometroj.
scientists view this as a global tendency.  in the past few years the many ice fields of the himalayas and across the andes as far as antarctica have been studied - and everywhere the ice is shrinking and regressing.  scientists think that global warming is to blame.	sciencistoj rigardas tion mondvasta tendenco.  dum la pasintaj jaroj oni studis la multnombrajn glaciejojn de himalajo, trans andoj ĝis antarktio - kaj ĉie malkreske regresas la glacio.  laŭ la sciencistoj kulpas pri tio la tergloba plivarmiĝado.
if the greenhouse effect strengthens the snow-cap on the tallest african mountain will have vaporized away by the year 2020. the air temperature will be so high that the ice will not only liquidize, but will sublime directly into water vapor.  that also explains the fact that in spite of the melting ice many rivers in the region are carrying less and less water or completely drying up.	se la forceja efiko plifortiĝas la neĝkovraĵo de la plej alta afrika monto forvaporiĝos jam antaŭ la jaro 2020.  la aertemperaturo estos tiom plialtiĝinta, ke la glacio ne nur likviĝas, sed senpere sublimiĝas en akvovaporon.  tio klarigas ankaŭ la fakton, ke malgraŭ la glacia degelado multaj riveroj en la regiono kondukas ĉiam malpli da akvo aŭ tute sekiĝas.
dust	polvo
it moves relentlessly.  attack it, and it scatters and evades you, but the moment your guard is down, it silently regroups – on lampshades and ledges, in corners and crevices.  it charges out at you from under your bed.  no matter how often you shake a rag at it, dust always seems to have the upper hand.	ĝi moviĝas senkompate.  ataku ĝin kaj ĝi disiĝas kaj evitas vin, sed je la momento kiam vi ĉesas singardi, ĝi silente regrupiĝas - sur lampŝirmiloj kaj bretoj, en anguloj kaj fendetoj.  ĝi kuratakas vin el sub via lito.  kiom ajn ofte vi skuas ĉifonon kontraŭ ĝi, ŝajnas ke polvo ĉiam superregas.
and that’s just in your home. imagine having to look after a larger place, somewhere packed with delicate knick-knacks that are on show day after day, with tens of thousands of people passing through each year.  so vexing is the battle against dust that the people who run historic homes and palaces have made it the subject of systematic scientific scrutiny.	kaj tio estas nur en via hejmo.  imagu ke vi devas prizorgi pli grandan lokon, lokon plenŝtopitan per delikataj bagatelaĵoj ekspoziciataj tagon post tago, kie trapasas kelkdek miloj da homoj ĉiujare.  tiom ĉagrenas la batalo kontraŭ polvo ke tiuj kiuj respondecas pri historiaj domoj kaj palacoj estigis pri ĝi temon de sistema scienca ekzamenado.
several studies launched in the past few years are attempting to put the study of dust on a scientific footing.  what is it composed of?  how quickly does it accumulate? how damaging is it?  and what is the best way of keeping it under control?	kelkaj esploroj lanĉitaj dum lastatempaj jaroj provas bazi la studon de polvo sur la scienco.  el kio ĝi konsistas?  kiom rapide ĝi amasiĝas?  kiom ĝi difektas?  kaj kio estas la plej bona maniero ĝin regi?
language and logic	lingvo kaj logiko
a mathematically precise language presupposes:	matematike preciza lingvo supozigas:
a strictly unemotional prose style - no figurative use of words;	severe senemocian prozan stilon - nenia figura uzado de vortoj;
that each word should have just one meaning, strictly fixed within narrow limits;	ke ĉiu vorto havu nur unu signifon, severe fiksitan en malvastaj limoj;
constant, fixed order of words within the sentence.	konstantan fiksitan ordon de la vortoj en la frazo.
science needs this kind of precise language and scientists subject the languages used by them to these demands. for science this is not only justifiable, but also necessary. but for art such a language cannot be suitable.	tian precizan lingvon bezonas la scienco, kaj la sciencistoj aplikas la uzatan de ili lingvojn al tiaj postuloj.  por la scienco tio ĉi estas ne nur pravigenda, sed ankaŭ necesa.  sed por la arto tia lingvaĵo ne povas taŭgi.
very early on zamenhof himself considered this question. this is how he saw the matter: "not only in natural languages, but also in an artificial language, everything used by the majority of good writers must be regarded as good, even if it is not absolutely logical, because if we always demand absolute logic, then the free use of an artificial language will become completely impossible, because the value of long practice will disappear and in the tenth year of using the language, just as in the first year, everyone would have to consider and weigh every word.	tre frue tiu ĉi demando ne estis malatentita de zamenhof mem.  jen kiel li vidis la aferon: "ne sole en la naturaj lingvoj, sed ankaŭ en lingvo artefarita ĉio, kio estas uzata de la plimulto da bonaj verkistoj, devas esti rigardata kiel bona, se ĝi eĉ ne estas absolute logika, ĉar se ni postulos ĉiam nur logikon absolutan, tiam la libera uzado de lingvo artefarita fariĝos tute neebla, ĉar tiam malaperos ĉiu utileco de longa ekzercado kaj en la deka jaro de uzado de la lingvo, kiel en la unua jaro, ĉiu devus konstante tro longe pripensadi kaj pesadi ĉiun sian vorton".
for want of a dollar a year	pro manko de dolaro jare
it is a lethal agent that kills more children under the age of five than measles, malaria or aids.  in fact, across the developing world it is the fourth biggest cause of death and disease.  yet you have probably never heard of the problem.	ĝi estas mortigaĵo kiu pli da infanoj malpli ol kvinjara mortigas ol morbilo, malario kaj aidoso.  fakte, tra la disvolviĝanta mondo ĝi estas la kvara plej granda kialo de morto kaj malsano.  tamen verŝajne vi neniam aŭdis pri la problemo.
...more than a third of humanity have to cook every day on traditional stoves that burn wood, crop residues or dung. and cooking smoke, like cigarette smoke, is a cocktail of poisons including carbon monoxide, nitrogen oxides and carcinogens such as formaldehyde and benzene.  this explains why cooking smoke is thought to kill 1.6 million people every year, mostly women and young children. ....	...pli ol triono da homaro devas kuiri ĉiutage per tradiciaj fornoj kiuj bruligas lignon, plantrestaĵojn aŭ fekaĵon.  kaj kuirfumo, kiel cigaredfumo, estas miksaĵo de venenoj inkluzive de karbona monooksido, nitrogenaj oksidoj kaj kancerogenaĵo kiel formaldehido kaj benzeno.  tio klarigas kial oni pensas ke kuirfumo mortigas 1,6 milionojn da homoj ĉiujare, plejparte virinojn kaj junajn infanojn....
 but they could afford a stove with a chimney that takes the smoke out of the house.  if the structure of the house makes a chimney impossible, a hood which takes the smoke up into the roof can be almost as good.	 sed ili povus toleri elspezon por forno kun kamentubo kiu kondukas fumon ekster la domon.   se la konstruo de la domo estas tia ke kamentubo ne eblas, preskaŭ egale bonas kapuĉo kun fumtubo kiu kondukas fumon supren en la tegmenton.
it is estimated that $2.5 billion a year for 12 years would provide 2 billion people with a healthy indoor environment - about $1 a person a year.	oni taksas ke po 2.5 bilionoj da dolaroj jare dum 12 jaroj provizus al 2 bilionoj da homoj sanan endoman medion - ĉirkaŭ $1 por ĉiu homo jare.
pretending to be stupid	ŝajnigi sin stulta
it's said that this proverb, which means "to behave as if one doesn't understand anything", has a very amusing origin. after the crusades, when the first 'blacks'  came to venice for the first time, they were regarded in the same way that we would regard martians from our red planetary neighbor. it is understandable that their behavior and way of dressing would make them objects of curiosity.	tiu ĉi proverbo, kiu signifas "tiel fari, kvazaŭ oni tute ne komprenas", havas laŭdire vere amuzan devenon.  kiam post la krucmilitoj la unuaj 'negroj'  venis la unuan fojon en venecion, oni alrigardis ilin sammaniere kiel ni hodiaŭ verŝajne alrigardus iujn marsanojn de nia ruĝa najbarplanedo.  kompreneble, ke ilia konduto kaj vestiĝmaniero faris ilin objekto de scivolemo.
that increased to a real thirst for knowledge when the 'blacks' didn't understand a single word and pretended that they had no understanding of what was around them. however, this was just a trick which they used to gain more freedom to continue their trading.	tio plialtiĝis al vera sci-avido kiam la 'negroj' tute ne komprenis iun ajn vorton kaj ŝajnigis ke ili nenion konceptas pri tio kio ĉirkaŭas ilin.  tio tamen estis nur ruzaĵo, kiun ili uzis por gajni pli da libero por daŭrigi la intertraktadon.
is it possible that in a european union growing ever more closely integrated there exists a country which cunningly "pretends to be incapable, and so too stupid to learn any language other than that of its own country" so that other europeans would have to learn its language as "an international language spoken everywhere"?	ĉu eble ekzistas en la estonte pli kaj pli kunkreskanta eŭropa unio iu lando, kiu ruze "ŝajnigas sin nekapabla, do stulta, lerni alian lingvon krom la propranacian" - por ke ĉiuj alilingvaj eŭropanoj lernu ties lingvon kiel "ĉie parolatan internacian lingvon"?
stone age cats	ŝtonepokaj katoj
until now, historians thought that the ancient egyptians were the first to domesticate cats around 4000 years ago. but some evidence suggests cats were culturally important outside egypt long before that.  stone and clay figurines of cats up to 10,000 years old have turned up in syria, turkey and israel.  and archeologists have found 9000 to 9500-year-old cat bones in cyprus, which has no native feline species.	ĝis nun, historiistoj pensis, ke la antikvaj egiptoj estis la unuaj malsovaĝigi katojn antaŭ ĉirkaŭ 4000 jaroj.  sed iuj atestoj sugestas, ke katoj kulture gravis ekster egiptio longe antaŭ tiam.  ŝtonajn kaj argilajn figuretojn ĝis 10000 jar-aĝajn oni ektrovis en sirio, turkio kaj israelo.  kaj arkeologoj trovis katajn ostojn 9000-9500 jaraĝajn en kipro, kiu ne havas katan specion indiĝenan.
people were keeping cats as pets almost 10,000 years ago, say researchers who stumbled on the grave of a prehistoric tabby in cyprus. the stone age cat lay close to the grave of a human, possibly its master.	homoj tenis katojn kiel dorlotbestojn antaŭ preskaŭ 10000 jaroj, diras esploristoj, kiuj ektrovis la tombon de antaŭhistoria tigrostria kato en kipro.  la ŝtonepoka kato kuŝis proksime al la tombo de homo, eble ĝia mastro.
the cat belonged to the species felis silvestris, the wild cat from which domestic cats are descended. its remains lie just 40 centimeters from a 9500-year-old human grave. the proximity of the human skeleton suggests the person had a strong bond with the cat, which might have been killed to go to the afterlife with its master.	la kato estis de la specio felis silvestris, la sovaĝa kato de kiu devenis hejmaj katoj.  ĝiaj restaĵoj kuŝas nur 40 centimetrojn de 9500-jara homa tombo.  la proksimeco de la homa skeleto sugestas, ke la homo havis fortan ligon al la kato, kiun oni eble mortigis por ke ĝi iru al la postvivo kun la mastro.
polar bears	arktaj ursoj
polar bears migrate throughout their entire lives, every day except when sleeping or resting: from the southern point of greenland upwards along the east coast, going beyond the north pole, across into siberia, then continuing into alaska. from there, across the islands situated near canada on again to southern greenland. they migrate over these enormous distances with the ice, on whose floes they travel.	la blankaj ursoj migradas dum sia tuta vivo, ĉiun tagon : de la suda pinto de gronlando supren laŭ la orienta marbordo, preterire la nordan poluson, transe al siberio, poste pluen al alasko.  de tie, trans la insuloj troviĝantaj apud kanado reen al suda gronlando.  tiajn enormajn distancojn ili migradas kune kun la glacio, sur kies bankizoj ili vojaĝas.
they survive the winter by sleeping.  at the beginning of november polar bears dig themselves into a snow cave and become locked in by piles of snow.  the heat of the bear itself balances at a body temperature just above 0o celsius - not even the severest storm can reach or disturb it.  when the bears emerge in march from their snow dens, they are so thin that the people in northern regions believed for a long time that there were two species of white bear.	la vintron ili travivas dormantaj.  komence de novembro la arktaj ursoj enfosas sin en neĝkavernon kaj iĝas enŝlositaj de neĝamasoj.  la propra varmeco de urso ekvilibriĝas je korpotemperaturo iom super 0o de celsio - eĉ la plej akra ŝtormo ĝin ne povas atingi kaj ĝeni.  kiam en marto la ursoj eliĝas el la dumvintra neglogejo, ili estas tiom maldikaj, ke la homoj en nordaj regionoj longan tempon kredis, ke ekzistas du specioj de blankaj ursoj.
looking for lizards	ŝercante lacertojn
between 1990 and 2002, the irish wildlife trust' conservation officer at the time, ferdia marnell, carried out the first survey of this unusual creature. working on reports from all but five counties, ferdia found out some very interesting things about 'lacerta vivipara'.  perhaps most importantly, he discovered that the lizard is more widespread than previously recorded.	inter 1990 kaj 2002, la tiamakonservadisto de la irlanda sovaĝnatura kuratoreco, ferdia marnell, efektivigis la unuan esploron de tiu nekutima besto.  uzante raportojn el ĉiuj krom kvin graflandoj, ferdia eltrovis iom da tre interesaj faktoj pri 'lacerta vivipara'.  eble ple grave, li eltrovis ke la lacerto estas pli disvastigita ol antaŭe registrita.
most records come from places where people were actively looking for lizards, which means that in places where there were no records there could still be lizards aplenty.  hence this current campaign of reptile-tracking.  we want to hear about as many places where these shy little lizards hang out as possible.  you are most likely to see lizards when they are basking on rocks, stone walls, logs or exposed sunny areas.  if you see one, send us the details location, type of habitat, nearby   plants, weather conditions, etc.	plimultaj raportoj venas el lokojkie oni aktive serĉis lacertojn,kio signifas, ke en lokoj kie neestas raportoj povas estis multajlacertoj.  tial la nuna kampanjo dereptilio-spurado.  ni volas aŭdipri kiel eble plej multaj lokoj kieloĝadas tiuj sinĝenaj etaj lacertoj.  oni plej ofte vidas lacertojn kiamili ripozas sur rokoj, ŝtonmuroj,ŝtipoj aǔ malkovritaj sunaj lokoj.  se vi vidus, sendu al ni ladetalojn: loko, speco de loĝloko,apudaj plantoj, veter-kondiĉoj, ktp.
aids	aidoso
why didn't aids spread throughout the world, and particularly throughout africa, in antiquity as it does now?  to explain that let us look at the publications of travellers of the 19th and 20th centuries.  from those works it becomes understandable that until the end of the 19th century the majority of regions in the african continent were almost isolated from each other. dangerous tropical jungles, torrential rivers, wide deserts, attacks by aggressive tribes etc. were obstacles to migration.	kial jam ekde antikveco aidoso ne disvastiĝis tra la tuta terspaco, des pli tra tuta afriko, kiel nun?  por klarigi tion ni atentu la publikaĵojn de multaj vojaĝantoj en la 19a kaj 20a jarcentoj.  el tiuj verkoj iĝis komprenebla la fakto, ke ĝis la fino de la 19a jarcento la plimulto da regionoj en la afrika kontinento estis preskaŭ izolitaj unu de la alia.  migradojn obstaklis danĝeraj tropikaj arbaroj, impetegaj riveroj, vastaj dezertoj, atakoj de agresaj triboj, ktp.
but the most important barriers were the many epidemic diseases: malaria, dysentery, smallpox, yellow fever and others.  it's possible that in separate tropical regions the inhabitants became ill and died as a result of aids, but the absence of constant ties to other regions would prevent the spread of the infection....	sed la plej gravaj bariloj estis multnobraj epidemiaj malsanoj: malario, disenterio, variolo, flava febro kaj aliaj.  eble en la apartaj tropikaj regionoj loĝantoj malsaniĝis kaj mortis kaŭze de aidoso, sed foresto de konstantaj ligoj kun aliaj regionoj malhelpus disvastiĝon de la infekto..
in the 2nd half of the 20th century events occurred which could have accelerated the spread of aids.  the first was an explosion of migration.  according to unesco today around 100 million people live outside their homeland.	en la dua duono de la 20a jarcento okazis eventoj kiuj estus povintaj akceli la disvastiĝon de aidoso.  la unua estas migrada eksplodo.  laŭ unesko, nuntempe ĉirkaŭ100 milionoj da homoj loĝas ekster sia patrujo.
fire	fajro
it's hot, it makes you sweat and it's not curry.	ĝi estas varma, ŝvitigas onin kaj ne estas kareo.  jes, estas fajro.
previously considered somewhat frightening, the amazing red stuff has become man's best friend. people across the world use it for cooking and scaring off wild animals.	antaŭe rigardita iom timiga, la mirinda ruĝaĵo jam iĝis la plej bona amiko de la homo.  tutmonde homoj uzas ĝin por kuiri, por varmiĝi kaj por timigi sovaĝajn bestojn.
"there's nothing new about fire," said norris nik, president of the hearth trust.  "you can find it all over the place - bush fires, lightning strikes and volcanoes, for example.  but the breakthrough has been introducing it to the home." ....	"estas nenio nova pri fajro," diris norris nik, prezidanto de la fajreja trusto.  "oni povas trovi ĝin ĉie - ekzemple, vepra fajro, fulmobato kaj vulkanoj.  sed la trarompo estas enkonduki ĝin en la hejmon." ...
"fire has lots of things going for it, the main one being that it gives us humans more control over our surroundings.  before, we depended on the sun for heat and light," enthused norris.  "now we can keep warm and dry wherever we are.  this not only spells an end to dark caves, but it means we can survive in cold places like eŭrope.  and if any ice age comes along we can just sit it out."	"la fajro havas multajn avantaĝojn, la ĉefa estas tio, ke ĝi ebligas nin homojn pli regi niajn ĉirkaŭajojn.  antaŭe ni dependis de la suno por varmo kaj lumo," entuziasmis norris.  "nun ni povas teni nin varmaj kaj sekaj kie ajn ni estas.  tio implicas ne nur la finon de mallumaj kavernoj, sed signifas ke ni povos travivi en malvarmaj lokoj kiel eŭropo.  kaj se venos ia glaciepoko, ni povos resti ĝis ĝia fino.
garlic	ajlo
although garlic is well known as a culinary herb, it has long had a merited reputation as a medicinal herb too.  originally native to siberia, garlic is now grown worldwide for food and medicine.  the value of garlic as a wound dressing and as a remedy for disorders of digestion has been established since ancient times.  it has antiseptic properties and has been used to treat both animals and humans.	kvankam oni bone konas ajlon kiel kulinaran aromherbon, ĝi ankaŭ jam delonge havas merititan reputacion kiel drogherbo.  origine indiĝena en siberio, ajlo nun estas kultivata mondskale por manĝaĵo kaj medikamento.  la valoron de ajlo kiel pansaĵo kaj kuracilo por digesto-malsanoj oni konstatis en antikvaj tempoj.  ĝi havas antibiotikan econ kaj oni uzis ĝin por kuraci kaj bestojn kaj homojn.
the basis of its activity is thought to be a chemical compound called allicin, which is formed from a precursor called allin when the garlic clove is crushed or chewed.  however, it is thought that there may be up to one hundred other compounds in garlic that may contribute to its value.	oni pensas, ke la bazo de ĝia agado estas ĥemia kombinaĵo nomita alicino, kiu fariĝas el antaŭvenanto nomita alino kiam oni pistas aŭ maĉas la ajlonon. tamen, oni pensas, ke eble estas ĝis cent aliaj kombinaĵoj en ajlo kiuj kontribuas al ĝia valoro.
allicin actively interferes with the enzyme pathways of bacteria and reduces their growth. these compounds also acts as a powerful anti-oxidant and have been hailed as significant anti-cancer agents.	alicino aktive entrudiĝas en la enzimaj reagoj de bakterioj kaj malpliigas ilian kreskon.  tiuj kombinaĵoj agas ankaŭ kiel forta kontraŭoksidilo kaj ili estas aklamitaj kiel gravaj kontraŭkanceriloj.
photosynthesis	fotosintezo
consequences for life as the ability to capture energy from sunlight.  photosynthesis has literally altered the planet, transforming the atmosphere and cooling earth in a protective shield against radiation.	malmultaj ŝanĝoj havis tiom profundajn konsekvencojn por la vivo kiel la kapablo kapti energion el sunlumo.  fotosintezo laŭlitere ŝanĝis la planedon, transformante la atmosferon kaj malvarmigante teron en ŝirmanta ŝildo kontraŭ radiado.
without photosynthesis there would be little oxygen in the atmosphere, and no plants or animals - just microbes.	sen fotosintezo estus malmulte da oksigeno en la atmosfero, kaj neniuj plantoj nek bestoj - nur mikroboj.
before photosynthesis, life consisted of single-celled microbes whose sources of energy were chemicals such as sulphur, iron and methane.  then a group of microbes developed the ability to capture energy from sunlight.  this early version used hydrogen sulphide and carbon dioxide as its starting ingredients, generating carbohydrates and sulphur as end products.	antaŭ fotosintezo la vivo konsistis el unu-ĉelaj mikroboj kies fontoj de energio estis kemiaĵoj kiel sulfuro, fero kaj metano.  tiam aro da mikroboj disvolvis la kapablon kapti energion el sunlumo.  tiu frua versio uzis hidrogendisulfidon kaj karbondioksidon kiel komencajn ingrediencojn, produktante karbonhidratojn kaj sulfuron kiel finproduktojn.
some time later a new type of photosynthesis evolved that used water, generating oxygen as a by-product.  in those early days oxygen was poisonous, but some microbes evolved the ability to tolerate it and then to use it as a new, more efficient energy-source.	post iom da tempo evoluis nova speco de fotosintezo, kiu uzis akvon, produktante oksigenon kiel flank-produkton.  en tiuj fruaj tagoj oksigeno estis venena, sed iuj mikroboj evoluigis la kapablon toleri ĝin kaj poste uzi ĝin kiel novan, pli efikan energi-fonton.
rabies	rabio
today, according to information from the world health organization, over 50 thousand people a year become ill and perish from rabies, in spite of the fact that sufficiently reliable means of preventing rabies exist.	nuntempe, malgraŭ tio, ke ekzistas sufiĉe fidindaj rimedoj por preventado de rabio, ĉiujare en la mondo, laŭ informo en la monda organizo pri sano, malsaniĝas kaj pereas de rabio pli ol 50 miloj da homoj.
the majority of them are inhabitants of africa, asia and latin america.	la plejparto el ili estas loĝantoj en afriko, azio kaj latina ameriko.
the majority of those who became ill did not turn to medical personnel after a bite from a rabid or unknown dog, or did so too late when it was not possible for antibodies to form after vaccination.	la plimulto de la malsaniĝintoj ne turnis sin al medicinistoj post la morto de rabia aŭ nekonata hundo aŭ faris tion tro malfrue, kiam ne sukcesis formiĝi postvakcinaj antikorpoj.
in some cases medical staff made serious mistakes, for example, applying just a vaccine to prevent rabies and not using the specific immunoglobulin, in spite of the fact that the victim had received a large number of bites.	en iuj kazoj medicinistoj faris seriozajn erarojn, ekzemple aplikante por preventado de rabio nur vakcinon kaj ne uzante la specifan imunoglobulinon malgraŭ tio, ke la viktimo havis multnombrajn mordojn.
in those cases the symptoms of disease often appear after a short incubation period.	en tiuj okazoj la simptomoj de malsano ofte aperas post mallonga inkubacia periodo.
it is therefore necessary to use, in addition to the vaccine, specific immunoglobulin containing existing antibodies.	tial necesas uzi krom vakcinon ankaŭ specifan imunoglobulinon entenantan la pretajn antikorpojn.
three elephants	tri elefantoj
genetic tests have confirmed that african savannah and forest elephants should be considered separate species. the two animals look different and experts had previously argued that they should be classed as two species, not variations of the same one.	genetikaj esploroj konfirmis ke afrikajn savanajn kaj arbarajn elefantojn oni devus rigardi kiel apartajn speciojn. la du bestoj aspektas malsame kaj fakuloj antaŭe argumentis ke oni klasifiku ilin kiel du speciojn, ne variantojn de unu.
results of dna analysis support the argument that there are three species of elephant, two in africa and one in asia.	rezultoj de dna-analizo subtenas la argumenton ke estas tri elefantaj specioj, du en afriko kaj unu en azio.
most african elephants seen on safari or in zoos are the savannah type, known as loxodonta africana, which has large ears and curving tusks.	la pli multo da elefantoj vidataj dum enafrika ferio aŭ en bestĝardenoj estas speco savana, nomita loxodonta africana, kiu havas grandajn orelojn kaj kurbajn dentegojn.
the rarer forest or bush elephant, loxodonta cyclotis, is smaller with rounded ears, straighter, thinner tusks and a distinct head shape. it lives in densely forested areas of west africa and is much less commonly seen.	la pli malofta arbara aŭ vepreja elefanto, loxodonta cyclotis, estas pli malgranda kun rondecaj oreloj, pli rektaj, maldikaj dentegoj kaj aparta kapformo. ĝi loĝas en dense arbokovritaj regionoj de okcidenta afriko kaj ĝin oni vidas multe malpli ofte.
researchers from the us and kenya published the new findings in the journal 'science'.	esploristoj el usono kaj kenjo eldonis la novajn informojn en la revuo 'scienco'.
diseases of the nervous system in the hundred aere wood	malsanoj de la nervo sistemo en centhektara arbaro
canadian doctors think that the teddy bear winnie-the-pooh suffers from attention-deficit disorder and hyperactivity. they are also disturbed by the little animal's obsessive behavior and psychological attachment to eating in general, and eating honey in particular. such behavior leads to obesity.	kanadaj kuracistoj opinias, ke la eta ludurso vini-la-pu, suferas pro sindromo de atentomanko kaj hiperaktiveco. ili maltrankiviliĝas ankaŭ pro la obseda konduto de la besteto kaj ties psika fiksiĝo al manĝado ĝenerale kaj aparte la manĝado de mielo. tia konduto kondukas al obezo.
the authors wonder if the little bear is suffering from 'shaken cub' syndrome , the result of an ab­normal method of transport. christopher robin usually holds the pet by one stuffed arm and lets the bear's head hit the stairs.	la aŭtoroj demandas, ĉu la urseto suferas pro 'skuitursida' sindromo , la rezulto de nenormala metodo de transporto. kristoforo robin kutime tenas la dorlotbeston per unu pluŝbrako kaj permesas la urskapon frapi la ŝtuparon.
the authors diagnosis for the donkey eeyore is depression caused by a shocking experience, in this case the amputation of his tail. they think that rabbit suffers from narcissism to a pathological degree.	la aŭtoroj diagnozas en la azeno, ior, sindromo de deprimo pro ŝoka sperto, en ĉi tiu kazo pro amputo de la vosto. ili opinias ke la kuniklo, rabit, suferas de narcisismo ĝis patologia grado.
they notice that the kangaroo kanga is a single parent who is unemployed and abnormally overprotective of her baby.	ili rimarkas, ke la kangaruo, kanga, estas senpartnera patrino kiu estas senlabora kaj nenormale tro protektema al sia ido.
for each member of the group of animals the writers not only reveal the diagnosis, but also prescribe suitable treatment.	por ĉiu ano de la bestaro la verkistoj ne nur malkovris diagnozon, ili ankaŭ preskribas taŭgan medikamenton.
concerning museums ...	pri muzeoj ...
in 1880 john ruskin wrote an article entitled 'a museum or picture gallery, its functions and its formations' stating:	en 1880 john ruskin verkis artikolon titolitan 'muzeo aŭ bildgalario, ĝiaj funkcioj kaj formiĝo' dirante:
"the first function of a museum ... is to give example of perfect order and perfect elegance ... to the disorderly and rude populace. everything in its own place ... nothing crowded, nothing unnecessary, nothing puzzling. therefore, once a room has been arranged, there must be no change to it ...	"la unua funkcio de muzeo ... estas doni ekzemplon de perfekta ordo kaj perfekta eleganteco ... al la senordema kaj kruda popolo.  ĉio en sia loko ... nenio plenŝtopita, nenio nenecesa, nenio enigma. tial, post kiam ĉambro estas aranĝita, oni devas ŝanĝi nenion en ĝi...
the original expenditure for building and fitting must be magnificent ... the current expenditure magnanimous; but a certain proportion of this current cost should be covered by small entrance fees, exacted, not for any miserly helping out of the floor- sweepers' salaries, but for the sake of the visitors themselves, that the rooms may not be encumbered by the idle, or disgraced by the disreputable.	la komenca elspezo por konstruado kaj garnituro devas esti grandioza ... la ĉiutaga elspezo grandanima; sed iun porcion de tiu ĉiutaga elspezo oni havigu per malgranda enirkosto, postulata ne por iom avare kontribui al salajroj de plankbalaistoj, sed por la vizitantoj mem, por ke la ĉambrojn ne plenigu mallaboremuloj nek malhonori malestiminduloj.
you must not make your museum a refuge against rain or ennui, not let into the perfectly furnished ... palatial rooms, the utterly squalid and ill-bred portion of the people ..."	vi devas ne fari el via muzeo rifuĝejon kontraŭ pluvo aŭ enuo, ne enlasi en la perfekte ekipitajn ... palacajn ĉambrojn la tute mizeran kaĵ malnobelan porcion de la popolo ...
from guidelines for informa­tion about esperanto	el gvidlinioj pri informado pri esperanto
aims : to make the public aware of the problems	celoj : konsciigi la publikon pri la problemoj
any information about esperanto is pointless if the target group is unaware of the existence of linguistic inequality and the undemocratic nature of the present linguistic order.	ĉia informado pri esperanto estas senperspektiva, se la celgrupo ne konscias pri la ekzisto de lingva neegaleco kaj la ne­demokratieco de la nuna internacia lingva ordo.
it follows that the first aim of information must be to reveal to the general public the fundamental lack of democracy in a commu­nication system which gives life-long privilege to some while demanding from others years of effort to acquire an imperfect knowledge of a particular language.	la unua celo de la informado devas sekve esti ke la generala publiko malkovru la fundamentan nedemokratiecon de komunika sistemo, kiu tutvive privilegias iujn sed postulas de aliaj jarojn da penoj por atingi tamen malperfektan lingvoscion.
in attempting to start a discussion on linguistic in­equality and language rights, many potential allies with simi­lar aims can be found. there are many scientific works on the ef­fects of linguistic inequality. at international, local and indi­vidual levels.	en la strebado estigi diskuton pri lingva egaleco kaj lingvaj rajtoj troveblas multaj potencialaj aliancanoj kun similaj celoj. ekzistas multaj sciencaj verkoj pri la efikoj de lingva neegaleco je tutmonda, loka kaj individua niveloj.
for those responsible for information, the subject is worth studying carefully. to change reality it is first neces­sary to get to know it in depth.	indas, ke respondeculoj pri informado bone trastudu la temon. por ŝanĝi la realaĵojn necesas unue gisfunde ekkoni ilin.
the most important color	la plej grava koloro
in the grey dawn of time perhaps the first color which people of that time were aware of was that color which they could smell and taste: the color of greed, of a slain wild animal, of the triumph of a hunt, of life and death, of conquest and food, the color of blood - red!	en la griza pratempo eble la unua koloro, kiun perceptis la tiamaj homoj estis tiu koloro kiun oni povis flarsenti kaj gustumi: la koloro de avido, de mortigita sovaĝbesto,' de ĉastriumfo, de vivo kaj morto, de venko kaj nutraĵo, la koloro de sango - ruĝa!
but blood quickly becomes brownish, consequently a replacement was immediately looked for and found: ochre. it does not become discolored, is not edible, can't be used to warm oneself - and it is close to red.	sed sango rapide fariĝas bruneta, konsekvence oni tuj serĉis kaj trovis anstataŭaĵon: okron. ĝi ne diskoloriĝas, ne estas manĝebla, ne estas uzebla por varmigi sin, kaj - ĝi estas proksima al la ruĝa.
red  is the ori­gin of sanctity, is magic, a symbol of strength and power, strengthens the dead - and at the same time prevents their return to earth.	ruĝa  estas origino de sankteco, estas magia, simbolo de forto kaj potenco, plifortigas la mortintojn - samtempe ankaŭ malhelpilo por ties reveno surteren.
